Extension Name,Wavelengths within Range,Fluxes within Range,Mean Wavelengths,Sum Fluxes
SMC-SMP-1,"(6553.0637408641605, 6567.821537038354, 6583.128152918056, 6588.4660231033195)","(1.2022578610051685e-14, 5.494703046298636e-13, 2.0085540155717734e-15, 3.691481308740477e-14)",6573.1198634809725,6.004162503428919e-13
SMC-SMP-2,"(6553.51000174078, 6565.416766635332, 6568.098328576803, 6588.870482626433)","(5.462622213390637e-15, -4.161905026811382e-10, 5.189952591446627e-13, 1.6700709365007887e-14)",6568.973894894837,-4.156493440904151e-10
SMC-SMP-8,"(6552.788925756808, 6567.364336480378, 6588.1210922735345)","(1.1403752283280212e-15, 4.791529148326006e-13, 4.9753043240508554e-15)",6569.424784836906,4.852685943849795e-13
SMC-SMP-13,"(6553.400605080448, 6568.11135794641, 6583.508330534921, 6588.757061695615)","(7.68697740521025e-15, 8.259523934973338e-13, 1.1442484193870092e-15, 2.4185176866156056e-14)",6573.444338814348,8.589687961880871e-13
SMC-SMP-18,"(6552.770059305075, 6567.507477808056, 6582.791745453975, 6588.16608676816)","(1.5436682368707992e-14, 7.252845636297283e-13, 1.4039282146352237e-15, 4.869836831659918e-14)",6572.808842333817,7.908235425296707e-13
SMC-SMP-20,"(6552.103504840201, 6566.849310471623, 6582.101266014918, 6587.433940947145)","(3.756015626893724e-15, 1.1170046716796211e-12, 2.5149286739753887e-15, 1.0937016980395785e-14)",6572.122005568472,1.134212632960886e-12
SMC-SMP-24,"(6552.888838775578, 6567.652267536342, 6588.287220289874)","(1.2841874899416144e-14, 6.396599150665972e-13, 3.956243979083235e-14)",6569.609442200599,6.920642297568457e-13
SMC-SMP-25,"(6552.980160567651, 6565.102701166069, 6567.854215925305, 6588.4048817585635)","(8.506910043029823e-15, -6.46469115250165e-11, 1.755231550465073e-13, 2.62826542886605e-14)",6568.585489854398,-6.443659880563831e-11
