col1,recno,Name,FHbeta,e_FHbeta,n_Ne-,Ne-,l_T[OIII],T[OIII],l_T[NII],T[NII],Copt,SimbadName,_RA,_DE
0,1,SMP_SMC_1,,,*,5000.0,,11100.0,:,11100.0,0.02,SMP SMC 1,5.99433,-73.63444
1,2,SMP_SMC_2,,,,3000.0,,16200.0,:,16200.0,0.01,SMP SMC 2,8.16179,-71.69986
2,3,SMP_SMC_3,871.0,5.0,,21500.0,,13600.0,:,13600.0,0.19,SMP SMC 3,8.59137,-73.22264
3,4,SMP_SMC_4,1259.0,3.0,,6100.0,,15700.0,:,15700.0,0.39,SMP SMC 4,10.19254,-75.27244
4,5,SMP_SMC_5,,,,3200.0,,14500.0,:,14500.0,0.0,SMP SMC 5,10.34029,-72.75467
5,6,SMP_SMC_6,1585.0,2.0,,11400.0,,14400.0,,15600.0,0.64,SMP SMC 6,10.36583,-73.78508
6,7,SMP_SMC_7,,,,1900.0,,17900.0,:,17900.0,0.03,SMP SMC 7,10.61867,-73.34831
7,8,SMP_SMC_8,,,*,5000.0,,13200.0,:,13200.0,0.26,SMP SMC 8,10.85554,-72.63867
8,9,SMP_SMC_9,372.0,5.0,,2200.0,,13700.0,,13700.0,0.0,SMP SMC 9,11.33704,-73.40253
9,10,SMP_SMC_10,1175.0,1.0,,1500.0,,11300.0,,11300.0,0.26,SMP SMC 10,11.74862,-72.82111
10,11,SMP_SMC_11,1349.0,8.0,,800.0,*,12000.0,*,12000.0,0.82,SMP SMC 11,12.1475,-72.96917
11,12,SMP_SMC_12,355.0,11.0,*,5000.0,,13200.0,:,13200.0,0.35,SMP SMC 12,12.33775,-73.88294
12,13,SMP_SMC_13,2754.0,1.0,,10700.0,,12400.0,,12400.0,0.16,SMP SMC 13,12.46533,-73.73936
13,14,SMP_SMC_14,1000.0,2.0,,1900.0,,13700.0,,13700.0,0.29,SMP SMC 14,12.64608,-73.71608
14,15,SMP_SMC_15,,,*,5000.0,,12000.0,,16200.0,0.04,SMP SMC 15,12.78071,-73.96047
15,16,SMP_SMC_16,,,*,5000.0,,11800.0,:,11800.0,0.0,SMP SMC 16,12.86312,-72.43658
16,17,SMP_SMC_17,,,*,5000.0,,14800.0,:,14800.0,0.0,SMP SMC 17,12.98517,-71.41225
17,18,SMP_SMC_18,,,*,5000.0,,10700.0,:,10700.0,0.0,SMP SMC 18,12.99292,-73.34217
18,19,SMP_SMC_19,1175.0,3.0,,2300.0,*,12000.0,*,12000.0,0.21,SMP SMC 19,13.29646,-72.75211
19,20,SMP_SMC_20,3802.0,1.0,*,5000.0,,12900.0,:,12900.0,0.05,SMP SMC 20,14.02233,-70.32383
20,21,SMP_SMC_21,562.0,10.0,,10200.0,,24400.0,,15700.0,0.39,SMP SMC 21,14.12871,-72.45044
21,22,SMP_SMC_22,1318.0,2.0,,1700.0,,24700.0,,12200.0,0.43,SMP SMC 22,14.65212,-71.59694
22,23,SMP_SMC_23,871.0,3.0,*,5000.0,,12800.0,:,12800.0,0.09,SMP SMC 23,14.67642,-72.95
23,24,SMP_SMC_24,,,*,5000.0,,12700.0,:,12700.0,0.0,SMP SMC 24,14.817,-72.03325
24,25,SMP_SMC_25,631.0,6.0,,9800.0,:,21100.0,,21100.0,0.23,SMP SMC 25,14.91883,-71.63753
25,26,SMP_SMC_26,316.0,5.0,,300.0,,18000.0,,11000.0,0.44,SMP SMC 26,16.07475,-73.36425
26,27,SMP_SMC_27,,,*,5000.0,,13100.0,:,13100.0,0.0,SMP SMC 27,20.29479,-73.243
27,28,SMP_SMC_28,759.0,4.0,,20700.0,,19200.0,,14600.0,0.19,SMP SMC 28,21.04921,-74.04239
28,29,SMP_SMC_32,,8.0,*,5000.0,,14700.0,:,14700.0,0.0,SMP SMC 32,13.42837,-73.61883
29,30,SMP_SMC_34,302.0,8.0,,500.0,,13000.0,,10000.0,0.03,SMP SMC 34,18.04542,-71.44739
30,31,MGPN_SMC_1,,,*,5000.0,*,12000.0,*,12000.0,0.19,MGPN SMC 1,5.88667,-74.87528
31,32,MGPN_SMC_10,,,*,5000.0,*,12000.0,*,12000.0,0.12,MGPN SMC 10,16.21417,-73.08944
32,33,MGPN_SMC_11,,,*,5000.0,*,12000.0,*,12000.0,0.0,MGPN SMC 11,17.16625,-72.30194
33,34,MGPN_SMC_12,200.0,4.0,,1300.0,,22100.0,,12800.0,0.56,MGPN SMC 12,18.59833,-71.08972
34,35,MGPN_SMC_13,309.0,5.0,,1000.0,,18800.0,:,18800.0,0.28,MGPN SMC 13,25.79375,-72.95056
35,36,MGPN_SMC_2,,,*,5000.0,*,12000.0,*,12000.0,1.31,MGPN SMC 2,7.0425,-72.97889
36,37,MGPN_SMC_3,,,*,5000.0,*,12000.0,*,12000.0,0.0,MGPN SMC 3,7.3375,-72.23528
37,38,MGPN_SMC_5,,,*,5000.0,*,12000.0,*,12000.0,0.05,MGPN SMC 5,10.36375,-75.04778
38,39,MGPN_SMC_6,,,*,5000.0,*,12000.0,*,12000.0,0.26,MGPN SMC 6,11.10667,-73.86083
39,40,MGPN_SMC_7,195.0,10.0,,200.0,,15500.0,:,15500.0,0.98,MGPN SMC 7,11.92708,-74.80417
40,41,MGPN_SMC_8,,,*,5000.0,*,12000.0,*,12000.0,0.0,MGPN SMC 8,14.08208,-72.11667
41,42,MGPN_SMC_9,1585.0,4.0,,4600.0,,20900.0,:,20900.0,1.08,MGPN SMC 9,14.67887,-72.45467
42,43,[M95]_1,,,*,5000.0,*,12000.0,*,12000.0,0.0,[M95] 1,2.18,-76.00278
43,44,[M95]_2,,,*,5000.0,*,12000.0,*,12000.0,0.99,[M95] 2,11.50958,-74.14361
44,45,LHA_115-N_8,,,*,5000.0,*,12000.0,*,12000.0,0.0,LHA 115-N 8,10.80583,-72.92028
