Name RA DEC VLT
LHA_115-N_7 10.8555 -72.63858333333333 SMC-SMP-8_spectrum.fits
SMP_SMC_1 5.99433 -73.63444 SMC-SMP-1_spectrum.fits
SMP_SMC_2 8.161891 -71.699936 SMC-SMP-2_spectrum.fits
LHA_115-N_38 12.465208333333331 -73.73927777777777 SMC-SMP-13_spectrum.fits
LHA_115-N_47 12.992208333333332 -73.34202777777777 SMC-SMP-18_spectrum.fits
SMP_SMC_20 14.02233 -70.32383 SMC-SMP-20_spectrum.fits
LHA_115-N_70 14.817166666666663 -72.03333333333332 SMC-SMP-24_spectrum.fits
LIN_357 14.918791666666664 -71.63752777777776 SMC-SMP-25_spectrum.fits
