Field,ID,RA_r,DEC_r,X_r,Y_r,s2n_r_psf,s2n_J0660_psf,s2n_i_psf,CLASS_STAR_r,CLASS_STAR_i,u_psf,J0378_psf,J0395_psf,J0410_psf,J0430_psf,g_psf,J0515_psf,r_psf,J0660_psf,i_psf,J0861_psf,z_psf,e_u_psf,e_J0378_psf,e_J0395_psf,e_J0410_psf,e_J0430_psf,e_g_psf,e_J0515_psf,e_r_psf,e_J0660_psf,e_i_psf,e_J0861_psf,e_z_psf,Name
b'MC0094',b'iDR4_3_MC0094_1358335',13.608926,-72.516396,4958.55,3556.37,15.041667,25.785715,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,19.90133,17.52233,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.072,0.042,99.0,99.0,99.0,[DPR2015]_1
b'MC0094',b'iDR4_3_MC0094_1373406',14.67855,-72.454666,2846.28,3931.96,63.705883,99.0,99.0,0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,15.457117,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.017,99.0,99.0,99.0,99.0,LHA_115-N_68
b'MC0094',b'iDR4_3_MC0094_1378833',12.863246,-72.43656,6429.0,4076.54,98.454544,90.25,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,16.450773,14.400772,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.011,0.012,99.0,99.0,99.0,LHA_115-N_42
b'MC0094',b'iDR4_3_MC0094_1467111',14.652407,-71.59701,2774.79,9545.82,7.680851,5.3880596,99.0,0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,20.251678,19.997828,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.141,0.201,99.0,99.0,99.0,LHA_115-N_67
b'MC0072',b'iDR4_3_MC0072_0144179',18.045326,-71.4474,2790.81,2328.27,19.690908,57.0,99.0,1,99,99.0,18.375813,99.0,99.0,99.0,18.664396,99.0,18.660961,16.54696,99.0,99.0,99.0,99.0,0.07,99.0,99.0,99.0,0.069,99.0,0.055,0.019,99.0,99.0,99.0,SMP_SMC_34
b'MC0115',b'iDR4_3_MC0115_0001830',12.780635,-73.960464,8086.37,2204.58,77.35714,120.333336,51.57143,1,1,16.611757,16.544397,16.340397,16.8622,16.496521,15.50449,16.38849,15.900789,13.7787895,16.862604,17.211174,16.855173,0.019,0.024,0.026,0.032,0.022,0.014,0.021,0.014,0.009,0.021,0.043,0.029,LHA_115-N_43
b'MC0115',b'iDR4_3_MC0115_0005216',12.7182,-73.748695,8233.87,3587.62,15.695652,45.125,99.0,1,99,19.209766,19.343407,99.0,99.0,99.0,18.636955,19.343954,19.316666,17.351665,99.0,99.0,99.0,0.085,0.133,99.0,99.0,99.0,0.051,0.112,0.069,0.024,99.0,99.0,99.0,[MA93]_406
b'MC0115',b'iDR4_3_MC0115_0006029',12.646113,-73.716125,8371.46,3797.36,40.11111,90.25,20.433962,1,1,17.93434,17.749979,17.83198,18.453178,17.864498,16.602467,18.203468,17.405357,15.247357,18.559858,18.85699,18.494991,0.042,0.045,0.062,0.093,0.049,0.017,0.055,0.027,0.012,0.053,0.128,0.089,LHA_115-N_40
b'MC0115',b'iDR4_3_MC0115_0009390',13.428957,-73.6186,6943.26,4463.9,19.690908,45.125,16.921875,0,1,18.918058,19.0017,99.0,99.0,18.772348,18.241318,18.944319,18.507275,17.019276,18.694689,18.549538,18.599537,0.083,0.11,99.0,99.0,0.1,0.047,0.097,0.055,0.024,0.064,0.124,0.09,SMP_SMC_32
b'MC0115',b'iDR4_3_MC0115_0073113',14.676338,-72.94999,4606.5,8846.31,36.1,57.0,18.355932,1,1,18.06327,18.03891,17.78491,18.29939,17.92871,16.97168,18.58768,17.659037,15.606036,18.739855,18.934834,18.886833,0.05,0.067,0.062,0.083,0.052,0.02,0.059,0.03,0.019,0.059,0.121,0.113,LIN_343
